iso,year0,horizon,dev0,ry0,g_house,g_rent,r_house,r_eq,r_bond,infl,tercile
AUS,1901,5,,0.03272227942943573,-0.019975833980104107,0.0011610111992382268,0.015045364531823813,0.1272994809062331,0.023377722486147556,0.009968749757232276,
AUS,1902,5,,0.033561281859874725,0.013289711732125438,0.020385019881845358,0.049741458477245315,0.12842120402600088,0.029028261217270535,-0.003194979232142958,
AUS,1903,5,,0.034662503749132156,0.02503093353490353,0.02168071772084706,0.06178963185057196,0.11619562552741458,0.03924189076828011,0.0,
AUS,1904,5,,0.0365409217774868,0.022639576958500395,0.015202003638452009,0.0590446834087206,0.11414345539037574,0.028454522776499624,0.012783651404763674,
AUS,1905,5,,0.03750864416360855,0.024677562315755495,0.024449029452368345,0.06114647406568463,0.09499200371861072,0.014824848083258013,0.015880931965295497,
AUS,1906,5,,0.03640652820467949,0.015522427248258426,0.022742069389517897,0.051931909278622346,0.08361155798722875,-0.0067446302006904935,0.027479896421665373,
AUS,1907,5,,0.034752875566482544,-0.003637393243819432,0.011337688320894641,0.03262145294767649,0.0657794420884068,-0.015296431310244274,0.044286850137707834,
AUS,1908,5,,0.03409973904490471,0.009369885282554268,0.02082144652042545,0.04650216789860662,0.059513268388549534,-0.007375173906684074,0.03496752295540939,
AUS,1909,5,,0.03523131459951401,0.0035664197382364,0.0020188673288874122,0.04043071159397127,0.048034691169297705,-0.012679878592140814,0.04240222108838565,
AUS,1910,5,,0.03746683523058891,-0.011497291337028953,-0.035483358593095225,0.023956846026422562,0.008589305490083632,-0.03408469490847099,0.06162028049877688,
AUS,1911,5,,0.037719182670116425,-0.007548252018023924,-0.03798396033611604,0.02696733173979493,-0.008499722742541516,-0.021862359716417923,0.0508884676162773,
AUS,1912,5,,0.03744420409202576,-0.009669781317121885,-0.040113807571847716,0.023700435042746548,0.007264852103809449,-0.00942038593900485,0.04726410420558769,
AUS,1913,5,,0.03607848286628723,-0.025016529395165965,-0.05209925761174251,0.006912784023985541,-0.011829051480571007,-0.03207083680708678,0.06474089164847396,
AUS,1914,5,,0.03496050834655762,-0.01742414501655521,-0.04729990213005219,0.013770787887274816,-0.012425338852023238,-0.04381583364270303,0.07899438246955492,
AUS,1915,5,0.06745564873354803,0.03313647583127022,0.019581135324512913,-0.011273913430706951,0.05098919350121389,0.028531045948658074,-0.025124547461064517,0.05981824793286461,1.0
AUS,1916,5,0.08780426142957687,0.03227950260043144,0.04674563320060244,0.02196573001162506,0.078226256903289,0.0998684510367931,0.009035207820920155,0.034847762512840275,1.0
AUS,1917,5,0.0898854879988984,0.03203193470835686,0.06182165570583238,0.0437144272081818,0.09319579828317104,0.12918772229721087,0.028302266762988415,0.01790401078336279,1.0
AUS,1918,5,0.10556605462070223,0.03133836388587952,0.06364853363902137,0.056274837563800036,0.0948498214274669,0.16299537362541017,0.04845542061686858,0.003816935487949369,1.0
AUS,1919,5,0.142651819378802,0.029959071427583694,0.06037738871068684,0.07212276088064022,0.09184256415547787,0.17829728531521338,0.07056502632861461,-0.01771033051887827,2.0
AUS,1920,5,0.1857235792061318,0.028416940942406654,0.036330912183354644,0.06566923390086131,0.06796322996465509,0.2003537207245205,0.08596977890570745,-0.01921150074618816,2.0
AUS,1921,5,0.1695872382892718,0.028635364025831223,0.009082081434428832,0.037252582762332995,0.04073646174851686,0.16567612111421548,0.05452449589911934,0.0,2.0
AUS,1922,5,0.13697406414311075,0.029392309486865997,-0.0018351478489119573,0.021265152365182553,0.030187794057153994,0.13957168793163777,0.0454357051819545,0.0074357334813135445,2.0
AUS,1923,5,0.10296676711245789,0.030267061665654182,0.0016554041692837748,0.017176624141959907,0.03427507201362867,0.1404326772984863,0.044332238117291256,0.009260824864604444,1.0
AUS,1924,5,0.0556946439448498,0.031655460596084595,0.008792612234179004,0.011941875422628923,0.041744900041263966,0.10154723646972141,0.03537882140410176,0.007367294276414249,1.0
AUS,1925,5,0.02307591112188634,0.03267361596226692,-0.012189733820772552,0.02341551478699101,0.021324291911870352,0.012779559172994226,0.027624063630165674,-0.011366589361043511,1.0
AUS,1926,5,0.01749976718816315,0.03286191448569298,-0.035620563098662565,0.026959118430120457,-0.0005681182079642078,0.02727783410939688,0.035100029921869336,-0.019245166974475314,1.0
AUS,1927,5,0.01395609900372241,0.032954514026641846,-0.033742374862990906,0.02640481316573071,0.003621421882774367,0.061673510547912036,0.09736096527186833,-0.03094807769590613,1.0
AUS,1928,5,0.019792017062262968,0.03268589824438095,-0.04671937596099501,0.0105114614685209,-0.007745948493249055,0.07750596403540255,0.10211236352397757,-0.032700457526557036,1.0
AUS,1929,5,0.031122839302173855,0.03215266764163971,-0.041374450213077306,0.013814231489683823,-0.00018320578307839952,0.13572145278516623,0.12141870991747328,-0.032700457526557036,1.0
AUS,1930,5,-0.16043881348343314,0.03900223597884178,-0.00558333427754444,0.0009209510789398391,0.03740477913176443,0.21857163572653437,0.11514015654090515,-0.014118585792456728,0.0
AUS,1931,5,-0.29501993479093125,0.04500066488981247,0.016934872344757414,0.01149678003793064,0.060654391596321355,0.2056238070484968,0.09918292272552298,0.0,0.0
AUS,1932,5,-0.27545393475561086,0.04457010328769684,0.020176831126745464,0.03149372035001047,0.06454914372480824,0.14460189602967644,0.022278853371776597,0.012451967859669066,0.0
AUS,1933,5,-0.24688047266226265,0.043748464435338974,0.02804320102955205,0.04698454757557627,0.0736167495588711,0.08818095565976303,0.0033881025234261397,0.01646974442466531,0.0
AUS,1934,5,-0.21125421228128483,0.04253671318292618,0.01620789653352469,0.040150593450249225,0.06232480687764874,0.04844783661019991,-0.012325455216124825,0.022379850652545885,0.0
AUS,1935,5,-0.1541927654916555,0.04029456153512001,-0.0038966322683933116,0.027872335874401525,0.04267455021363298,0.026289376740369352,-0.003172404859382083,0.03162030596605758,0.0
AUS,1936,5,-0.23185614867389992,0.04381025210022926,0.00012614927350758877,-0.01031853839550854,0.046435911389220985,-0.02547552818396759,-0.015294967128076653,0.03607683645760851,0.0
AUS,1937,5,-0.2950366916779976,0.04709765687584877,0.0021275044043545274,-0.03692641726543431,0.046823828846999316,-0.0043407629954090865,-0.007967271264509801,0.04396114655728112,0.0
AUS,1938,5,-0.30119307467383827,0.04792999103665352,0.010781569446212527,-0.045186643254935696,0.053458156061528594,0.016187993906557008,0.008369038310051424,0.04150644720148655,0.0
AUS,1939,5,-0.285753508789381,0.04778946936130524,0.009945138895525488,-0.033474250289905465,0.05068545322849638,0.025649209006882945,0.018357071396670754,0.03713728933664795,0.0
AUS,1940,5,-0.2580384747941529,0.04714333266019821,0.011460838302947453,-0.024382981622716203,0.050693516606109545,0.052569572730519765,0.00882770404937494,0.030512695077163254,0.0
AUS,1941,5,-0.12210455452117142,0.04156990349292755,0.0021612202692599535,-0.00655305489160656,0.04067787567052483,0.09795910419968323,0.035020622676906976,0.024418974332246046,0.0
AUS,1942,5,-0.04072839682188789,0.03860839456319809,-0.016862153978786713,0.0013162016138479867,0.021651110379598215,0.09133935630108092,0.011995250100392596,0.02747989137996454,1.0
AUS,1943,5,0.03341948124978389,0.03605065867304802,-0.040869175914021345,-0.005542839498705603,-0.001924774331741208,0.062344594780280094,-0.0020075181238758955,0.04261063755611061,1.0
